GalaxyID,M_diskgas,a_diskgas,M_bulge,a_bulge
UGC02455,11557976835.27094,4.841110270923846,0.0,0.0
UGC02487,491808932166.8421,10.302361212960784,63265110768.94037,0.4229389827123171
UGC02885,533674005873.4074,21.737052468575303,52795162769.61877,0.5841496493013356
UGC02916,497813374048.1279,47.54512076159016,25123949674.43484,1.9582012639898805
UGC02953,303787502709.92725,7.9256305148452135,24448781452.522186,0.7159677604106793
UGC03205,175122034742.63385,11.70499888321267,20167635139.163982,1.0330969843017592
UGC03546,90063205256.89621,4.819681791919573,15063560464.952639,0.0711967474387564
UGC03580,26043868750.01163,4.514124370094948,1445095165.5613682,0.5784516384045064
UGC04305,35446703523.33576,19.66929755712502,0.0,0.0
UGC04325,118520432897.47466,30.353760107270084,0.0,0.0
UGC04483,763385616.4050119,3.340919742681554,0.0,0.0
UGC04499,19582309706.34701,12.744077873456229,0.0,0.0
UGC05005,44895073640.19708,26.034217786129197,0.0,0.0
UGC05253,129317354887.9008,15.357469676147097,79412093614.48247,1.1940916444792542
UGC05414,40320390077.72684,20.227200086829537,0.0,0.0
UGC05716,14891127258.784647,16.259206600899024,0.0,0.0
UGC05721,1495091927.6501913,1.4515288715760994,0.0,0.0
UGC05750,178209407706.57584,72.83982835391248,0.0,0.0
UGC05764,2115089429576.642,241.25540072459037,0.0,0.0
UGC05986,14692381467.317488,6.103766818716222,0.0,0.0
UGC05999,155556868603.1955,51.13666315054198,0.0,0.0
UGC06399,43215047556.001434,21.50618242178726,0.0,0.0
UGC06446,24724943145.963436,17.48910717234855,0.0,0.0
UGC06614,182230064802.819,31.48268019710948,51307034652.507256,0.8245244729063812
UGC06628,162229465679.84033,43.88457743959869,0.0,0.0
UGC06786,80732282419.49074,8.876469717802635,15839238490.879562,0.6706866169370729
UGC06787,143475505886.08017,9.77421269286908,12996993419.538609,0.6332402869076074
UGC06818,6498758914.911088,7.2827240688431285,0.0,0.0
UGC06917,30722100710.105007,11.256701517904878,0.0,0.0
UGC06923,9169493274.19978,4.506160633303705,0.0,0.0
UGC06930,47217898694.68593,15.033650562083977,0.0,0.0
UGC06973,15176244699.386309,0.3189281754995859,3965482894.653894,3.4283197065914056e-12
UGC06983,23584146574.668438,9.664042736188499,0.0,0.0
UGC07089,34858966521.93154,18.07336682467238,0.0,0.0
UGC07125,37094872939.84334,22.405140429677285,0.0,0.0
UGC07151,15064709156.722532,6.496818353437063,0.0,0.0
UGC07232,2446146369.1395226,3.3167703242169755,0.0,0.0
UGC07261,9000652145.104477,6.453418234789167,0.0,0.0
UGC07323,3488657147055.7573,169.17101045575342,0.0,0.0
UGC07399,4229940075.5570974,3.924455988662119,0.0,0.0
UGC07559,19481522737.930897,21.253323005927736,0.0,0.0
UGC07603,1264211143.9361792,2.19832631021749,0.0,0.0
UGC07690,1810948080.0422523,1.3628990325554113,0.0,0.0
UGC07866,37548816823.60683,30.07980414070328,0.0,0.0
UGC08286,9232616093.93423,8.218749181214758,0.0,0.0
UGC08490,2751661352.186682,1.9335236775558995,0.0,0.0
UGC08550,1565944184.8936248,2.9636770325527455,0.0,0.0
UGC08699,71722090169.58087,5.617628587207967,11297920758.529655,0.4034820095719161
UGC09037,94500954502.42113,11.969834170494156,0.0,0.0
UGC09133,319351987037.722,9.993720347362245,51252261112.790085,1.157086969341198
UGC09992,3201392641.8658442,5.806416772133727,0.0,0.0
UGC10310,123539247192.69902,40.323635191263456,0.0,0.0
UGC11455,573466048643.6533,18.448550324209194,0.0,0.0
UGC11557,68330075659.06217,14.73911755644102,0.0,0.0
UGC11820,19507647275.210636,14.001482425478189,0.0,0.0
UGC11914,378227484989.1758,13.746820380735702,42109251524.90841,0.9210701819306163
UGC12506,317999390481.1227,22.636310177042372,0.0,0.0
UGC12632,1114211128895.345,182.62202779089577,0.0,0.0
UGC12732,169475605379.81943,62.95612809445443,0.0,0.0
UGCA281,1593194718.900444,3.8592711387771104,0.0,0.0
UGCA442,2805234663.588319,6.0841831477022525,0.0,0.0
UGCA444,6534445558.292234,13.041361369887085,0.0,0.0
